id, Positive Score, Negative Score, Net Score
31963,1,0,1
31964,0,0,0
31965,3,0,3
31966,1,1,-1
31967,3,0,3
31968,0,0,0
31969,0,3,-3
31970,0,0,0
31971,0,0,0
31972,1,0,1
31973,0,0,0
31974,1,0,1
31975,0,0,0
31976,3,0,3
31977,0,0,0
31978,0,0,0
31979,1,1,-1
31980,1,0,1
31981,1,0,1
31982,2,1,2
31983,2,0,2
31984,0,0,0
31985,2,0,2
31986,0,0,0
31987,0,0,0
31988,1,1,-1
31989,1,0,1
31990,3,0,3
31991,1,0,1
31992,2,0,2
31993,0,0,0
31994,2,0,2
31995,0,1,-1
31996,0,2,-2
31997,0,0,0
31998,0,0,0
31999,2,0,2
32000,0,1,-1
32001,1,0,1
32002,0,0,0
32003,3,0,3
32004,5,0,5
32005,0,0,0
32006,0,0,0
32007,0,0,0
32008,1,0,1
32009,1,0,1
32010,2,0,2
32011,2,0,2
32012,1,0,1
32013,3,0,3
32014,1,0,1
32015,1,0,1
32016,2,0,2
32017,0,0,0
32018,0,0,0
32019,4,0,4
32020,1,1,-1
32021,0,0,0
32022,0,0,0
32023,0,0,0
32024,1,0,1
32025,1,2,-2
32026,2,0,2
32027,0,1,-1
32028,4,0,4
32029,0,0,0
32030,1,0,1
32031,1,0,1
32032,0,0,0
32033,1,0,1
32034,0,0,0
32035,1,0,1
32036,2,1,2
32037,0,1,-1
32038,1,0,1
32039,0,1,-1
32040,1,0,1
32041,0,0,0
32042,0,0,0
32043,1,0,1
32044,0,0,0
32045,1,0,1
32046,1,0,1
32047,4,0,4
32048,2,0,2
32049,0,0,0
32050,0,0,0
32051,2,0,2
32052,2,0,2
32053,1,0,1
32054,3,0,3
32055,0,0,0
32056,0,0,0
32057,0,3,-3
32058,1,0,1
32059,2,3,-3
32060,0,0,0
32061,3,0,3
32062,0,0,0
32063,0,3,-3
32064,1,0,1
32065,1,0,1
32066,1,0,1
32067,0,0,0
32068,0,1,-1
32069,3,0,3
32070,1,0,1
32071,0,3,-3
32072,0,3,-3
32073,1,1,-1
32074,1,0,1
32075,1,0,1
32076,2,1,2
32077,0,0,0
32078,1,0,1
32079,1,0,1
32080,0,1,-1
32081,1,1,-1
32082,0,1,-1
32083,3,0,3
32084,0,0,0
32085,0,1,-1
32086,2,0,2
32087,0,0,0
32088,0,0,0
32089,1,2,-2
32090,1,0,1
32091,0,0,0
32092,0,0,0
32093,1,1,-1
32094,2,0,2
32095,1,0,1
32096,1,0,1
32097,1,0,1
32098,0,0,0
32099,3,0,3
32100,1,2,-2
32101,1,0,1
32102,1,0,1
32103,0,0,0
32104,0,0,0
32105,1,0,1
32106,0,1,-1
32107,0,0,0
32108,0,3,-3
32109,2,0,2
32110,0,0,0
32111,1,0,1
32112,0,0,0
32113,1,0,1
32114,0,0,0
32115,0,0,0
32116,1,1,-1
32117,0,1,-1
32118,2,0,2
32119,0,0,0
32120,1,0,1
32121,1,0,1
32122,2,1,2
32123,1,0,1
32124,0,1,-1
32125,2,0,2
32126,0,0,0
32127,0,0,0
32128,1,0,1
32129,0,0,0
32130,1,0,1
32131,0,0,0
32132,0,0,0
32133,0,1,-1
32134,0,0,0
32135,0,0,0
32136,0,0,0
32137,1,1,-1
32138,2,0,2
32139,0,2,-2
32140,1,0,1
32141,0,0,0
32142,0,0,0
32143,1,0,1
32144,0,1,-1
32145,1,0,1
32146,2,0,2
32147,1,0,1
32148,0,3,-3
32149,0,1,-1
32150,3,0,3
32151,0,1,-1
32152,1,0,1
32153,1,0,1
32154,0,2,-2
32155,1,0,1
